group,participant,date,practice.thisTrialN,implicatures.thisTrialN,id,condition,scale_type,scale_term,respSI_RT.rt,respSI_RT.implicature,respSI_RT.corr,lexTALE.thisTrialN,word,status,respLDT.corr,respLDT.rt
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,37.0,15,test,NB,gros/énorme,2.781699999988063,0.0,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,38.0,30,filler-true,,fermé/ouvert,1.313999999999964,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,39.0,33,filler-true,,actif/paresseux,1.38139999997611,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,40.0,28,filler-true,,petit/grand,1.398800000011931,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,41.0,11,test,B,vif/éblouissant,2.420500000000004,1.0,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,42.0,35,filler-false,,joli/fort,1.728799999952286,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,43.0,38,filler-false,,effrayant/marron,4.358599999964213,,1.0,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,,,,,
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,0.0,oeuiller,nonword,1.0,7.166300000011972
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,1.0,abêtir,word,1.0,1.653600000023857
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,2.0,parchance,nonword,1.0,2.192999999999983
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,3.0,mappemonde,word,1.0,3.170599999964224
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,4.0,lanière,word,0.0,1.541300000011915
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,5.0,escroc,word,0.0,0.9966999999880951
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,6.0,cerveler,nonword,1.0,1.199000000000012
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,7.0,jamain,nonword,1.0,1.894600000023842
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,8.0,alourdir,word,1.0,0.849499999999977
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,9.0,sacher,nonword,0.0,0.8038000000119041
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,10.0,cheveux,word,1.0,1.189100000023813
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,11.0,panier,word,1.0,1.335199999988106
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,12.0,semonce,word,0.0,0.852100000023824
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,13.0,amorce,word,0.0,0.995899999976188
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,14.0,tanin,word,1.0,2.275000000000034
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,15.0,amadouer,word,0.0,0.925599999964219
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,16.0,endifier,nonword,1.0,2.499199999988093
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,17.0,fascine,word,1.0,0.8774000000357771
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,18.0,salière,word,1.0,1.4590999999642231
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,19.0,vicelard,word,1.0,1.681900000035796
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,20.0,treillage,word,0.0,1.300600000023791
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,21.0,ennemi,word,0.0,1.849299999952336
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,22.0,mignon,word,1.0,0.717099999964204
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,23.0,occire,word,0.0,0.832499999999981
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,24.0,raplaner,nonword,1.0,1.046899999976119
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,25.0,dauphin,word,1.0,1.048199999988071
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,26.0,huif,nonword,0.0,1.678399999976136
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,27.0,parir,nonword,1.0,1.199099999964289
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,28.0,boutard,nonword,1.0,1.000499999999988
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,29.0,canoter,word,0.0,0.90869999998813
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,30.0,gloque,nonword,1.0,2.750699999988057
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,31.0,infâme,word,1.0,0.899
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,32.0,écureuil,word,1.0,1.405500000000017
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,33.0,procoreux,nonword,1.0,1.048100000023851
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,34.0,peigne,word,1.0,0.877399999976148
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,35.0,citrouille,word,0.0,2.047599999964234
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,36.0,sentuelle,nonword,0.0,1.189800000011928
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,37.0,clouer,word,0.0,1.9108999999761522
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,38.0,réporce,nonword,1.0,0.9063999999761451
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,39.0,balai,word,1.0,1.077899999976125
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,40.0,honteur,nonword,0.0,0.9141999999880561
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,41.0,remporter,word,1.0,0.916099999964274
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,42.0,bouilloire,word,0.0,1.069600000023854
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,43.0,crayon,word,1.0,0.6608000000119311
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,44.0,bouton,word,1.0,0.849800000011896
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,45.0,retruire,nonword,1.0,1.2730000000000241
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,46.0,fosse,word,1.0,1.088799999952357
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,47.0,lézard,word,1.0,1.217800000011891
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,48.0,metter,nonword,1.0,1.984199999988106
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,49.0,œillet,word,0.0,0.8774999999999971
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,50.0,hache,word,1.0,1.285500000000013
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,51.0,caddie,word,0.0,0.9133000000119291
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,52.0,marteau,word,0.0,0.799299999952324
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,53.0,orgueil,word,0.0,0.9333999999761311
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,54.0,rejoute,nonword,1.0,1.253100000023835
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,55.0,cintre,word,0.0,0.712499999999977
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,56.0,éventail,word,0.0,0.8656000000238461
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,57.0,cessure,nonword,1.0,1.416399999976192
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,58.0,poisson,word,1.0,0.590100000023824
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,59.0,robinet,word,1.0,0.9620999999642661
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,60.0,écouce,nonword,0.0,1.213000000000022
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,61.0,détume,nonword,1.0,0.6968000000119331
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,62.0,cloche,word,1.0,0.62319999998806
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,63.0,osseaux,nonword,0.0,0.8531000000238571
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,64.0,plaiser,nonword,1.0,0.683300000011911
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,65.0,racaille,word,0.0,0.9405000000000421
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,66.0,prioche,nonword,1.0,1.9628999999761731
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,67.0,pinceau,word,1.0,1.391999999999996
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,68.0,fourmi,word,1.0,0.69399999999996
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,69.0,pourcine,nonword,0.0,1.631899999976155
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,70.0,agire,nonword,1.0,1.6094999999999682
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,71.0,chameau,word,0.0,0.749500000000011
learner,R_2DtGvpx3rDODrN4,2025-04-23_11h03.01.602,,,,,,,,,,72.0,fouet,word,0.0,1.833600000023807
