id,scale_term,scale_type,condition,speaker,sentence,negation,thisN,thisTrialN,thisRepN,implicatures.thisRepN,implicatures.thisTrialN,implicatures.thisN,implicatures.thisIndex,thisRow.t,notes,welcome.started,keyWelcome.started,welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,insSI.started,keySI.started,insSI.stopped,keySI.keys,keySI.rt,keySI.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,trial.started,stimSI.started,respSI.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.01753499999995256,0.03180629999997109,78.37388839999994,space,78.2910594,None,,,,,,,,,,,,,,823432,001,2025-04-08_13h50.44.256,scalar-implicatures,2024.2.4,59.987390650493914,2025-04-08 13h50.47.161286 +0200,
,,,,,,,,,,,,,,,,,,,,,,78.3739185999998,78.3893920999999,79.4169124,space,1.0269932000001063,None,,,,,,,,823432,001,2025-04-08_13h50.44.256,scalar-implicatures,2024.2.4,59.987390650493914,2025-04-08 13h50.47.161286 +0200,
43,poli/pressé,None,filler-false,Paul,le propriétaire est poli,le propriétaire n'est pas pressé,0,0,0,0,0,0,42,79.43187689999968,,,,,,,,,,,,,,79.42625129999988,79.43187689999968,80.5325186,80.51718279999977,80.52611949999982,80.5325186,80.5325186,,,,,,,,
