id,scale_term,scale_type,condition,speaker,sentence,negation,thisN,thisTrialN,thisRepN,implicatures.thisRepN,implicatures.thisTrialN,implicatures.thisN,implicatures.thisIndex,thisRow.t,notes,welcome.started,keyWelcome.started,welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,insSI.started,keySI.started,insSI.stopped,keySI.keys,keySI.rt,keySI.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.018540399999892543,0.0311664999999266,7.828501399999823,space,7.735951399999976,None,,,,,,,,,,,477692,001,2025-04-08_12h47.35.053,scalar-implicatures,2024.2.4,59.981561667909375,2025-04-08 12h47.50.089421 +0200,
,,,,,,,,,,,,,,,,,,,,,,7.828532099999848,7.846315400000094,13.381736199999978,space,5.522627499999999,None,,,,,477692,001,2025-04-08_12h47.35.053,scalar-implicatures,2024.2.4,59.981561667909375,2025-04-08 12h47.50.089421 +0200,
3,dure/insoluble,B,test,Julie,la tâche est dure,la tache n'est pas insoluble,0,0,0,0,0,0,2,13.396538299999975,,,,,,,,,,,,,,13.388664399999925,13.396538299999975,,14.547891300000174,,,,,,,,
