id,scale_term,scale_type,condition,speaker,scale_first,scale_second,subject,verb,thisN,thisTrialN,thisRepN,respSI.keys,respSI.rt,respSI.duration,respSI_RT.keys,respSI_RT.rt,respSI_RT.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,implicatures.thisRepN,implicatures.thisTrialN,implicatures.thisN,implicatures.thisIndex,thisRow.t,notes,welcome.started,keyWelcome.started,welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,taskSI.started,keySI.started,taskSI.stopped,keySI.keys,keySI.rt,keySI.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,stimSI.started,textSI.started,respSI.started,stimSI.stopped,practice.respSI.keys,practice.respSI.rt,practice.respSI.duration,stimSI_RT.started,textSI_RT.started,respSI_RT.started,stimSI_RT.stopped,practice.respSI_RT.keys,practice.respSI_RT.rt,practice.respSI_RT.duration,practiceEnd.started,key_instruct.started,practiceEnd.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,participant,group,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026337199844419956,0.05021439981646836,0.9149749998468906,space,0.8461980000138283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123123,native,2025-04-15_15h41.24.216,scalar-implicatures,2024.2.4,59.469685049445225,2025-04-15 15h41.29.585264 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.915163799887523,0.9820385999046266,1.6074589998461306,space,0.6155220998916775,None,,,,,,,,,,,,,,,,,,,,,,,,,123123,native,2025-04-15_15h41.24.216,scalar-implicatures,2024.2.4,59.469685049445225,2025-04-15 15h41.29.585264 +0200,
c,égoïste/petit,None,filler-false,Paul,égoïste,petit,le président,est,0,0,0,space,2.59401430003345,None,f,3.2702864999882877,None,0,0,0,2,,,,,1.649726300034672,,,,,,,,,,,,,,1.6254672999493778,1.649726300034672,2.2643567000050098,2.239830199861899,2.239910699892789,2.2643567000050098,2.2643567000050098,4.872653799830005,space,2.59401430003345,None,4.888627599924803,4.8996508999262005,4.8996508999262005,8.173979099839926,f,3.2702864999882877,None,,,,,,,123123,native,2025-04-15_15h41.24.216,scalar-implicatures,2024.2.4,59.469685049445225,2025-04-15 15h41.29.585264 +0200,
a,droit/courbé,B,test,Julie,droit,courbé,le bâton,est,1,1,0,space,0.7914652000181377,None,j,1.3091472999658436,None,0,1,1,0,,,,,8.183268199907616,,,,,,,,,,,,,,8.174385600024834,8.183268199907616,8.631177000002936,8.60295099997893,8.603983599925414,8.631177000002936,8.631177000002936,9.437472099903971,space,0.7914652000181377,None,9.451755699934438,9.466527599841356,9.466527599841356,10.789910899940878,j,1.3091472999658436,None,,,,,,,123123,native,2025-04-15_15h41.24.216,scalar-implicatures,2024.2.4,59.469685049445225,2025-04-15 15h41.29.585264 +0200,
b,proche/lointain,None,filler-true,Paul,proche,lointain,le bâtiment,est,2,2,0,space,5.089877999853343,None,j,3.2790914999786764,None,0,2,2,1,,,,,10.798496499890462,,,,,,,,,,,,,,10.790321899810806,10.798496499890462,11.166423999937251,11.141090499935672,11.14266929985024,11.166423999937251,11.166423999937251,16.27273919992149,space,5.089877999853343,None,16.28814429999329,16.299803299829364,16.299803299829364,19.58754689991474,j,3.2790914999786764,None,,,,,,,123123,native,2025-04-15_15h41.24.216,scalar-implicatures,2024.2.4,59.469685049445225,2025-04-15 15h41.29.585264 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.587787499884143,19.598453199956566,20.88928129989654,space,1.2783131999894977,None,123123,native,2025-04-15_15h41.24.216,scalar-implicatures,2024.2.4,59.469685049445225,2025-04-15 15h41.29.585264 +0200,
16,gras/obèse,NB,test,Julie,gras,obèse,le cuisinier,est,0,0,0,,,,,,,,,,,0,0,0,15,20.948757799807936,,,,,,,,,,,,,,20.927201099926606,20.948757799807936,21.299312999937683,21.273041700012982,21.274339399999008,21.299312999937683,21.299312999937683,,,,,,,,,,,,,,,,,,,,,,,,,
