id,scale_term,scale_type,condition,speaker,sentence,negation,thisN,thisTrialN,thisRepN,respSI.keys,respSI.rt,respSI.duration,implicatures.thisRepN,implicatures.thisTrialN,implicatures.thisN,implicatures.thisIndex,thisRow.t,notes,welcome.started,keyWelcome.started,welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,insSI.started,keySI.started,insSI.stopped,keySI.keys,keySI.rt,keySI.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,trial.started,stimSI.started,respSI.started,trial.stopped,implicatures.respSI.keys,implicatures.respSI.rt,implicatures.respSI.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.003581899999971938,0.018559199999799603,0.43862300000000687,space,0.4107477999996263,None,,,,,,,,,,,,,,,,,,138334,001,2025-04-08_14h01.15.041,scalar-implicatures,2024.2.4,59.94772558331429,2025-04-08 14h01.18.876646 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,0.43864540000004126,0.4517212999999174,0.886609000000135,space,0.4234369999999217,None,,,,,,,,,,,,138334,001,2025-04-08_14h01.15.041,scalar-implicatures,2024.2.4,59.94772558331429,2025-04-08 14h01.18.876646 +0200,
15,gros/énorme,NB,test,Julie,le bâtiment est gros,le bâtiment n'est pas énorme,0,0,0,j,8.182342800000242,None,0,0,0,14,0.90204360000007,,,,,,,,,,,,,,0.8940326000001733,0.90204360000007,2.11915289999979,2.1031020999998873,2.103120199999921,2.11915289999979,2.11915289999979,10.303672900000038,j,8.182342800000242,None,138334,001,2025-04-08_14h01.15.041,scalar-implicatures,2024.2.4,59.94772558331429,2025-04-08 14h01.18.876646 +0200,
35,joli/fort,None,filler-false,Julie,le modèle est joli,le modèle n'est pas fort,1,1,0,f,7.487775600000077,None,0,1,1,34,10.318978100000095,,,,,,,,,,,,,,10.303754600000048,10.318978100000095,11.461794100000134,11.43697740000016,11.43699689999994,11.461794100000134,11.461794100000134,18.953931900000043,f,7.487775600000077,None,138334,001,2025-04-08_14h01.15.041,scalar-implicatures,2024.2.4,59.94772558331429,2025-04-08 14h01.18.876646 +0200,
40,cher/ennuyeuse,None,filler-false,Paul,la robe est chère,la robe n'est pas ennuyeuse,2,2,0,,,,0,2,2,39,18.968965000000026,,,,,,,,,,,,,,18.954014399999778,18.968965000000026,20.06945829999995,20.054350299999896,20.05437269999993,20.06945829999995,20.06945829999995,,,,,,,,,,,,
