id,scale_term,scale_type,condition,speaker,sentence,negation,thisN,thisTrialN,thisRepN,implicatures.thisRepN,implicatures.thisTrialN,implicatures.thisN,implicatures.thisIndex,thisRow.t,notes,welcome.started,keyWelcome.started,welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,insSI.started,keySI.started,insSI.stopped,keySI.keys,keySI.rt,keySI.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.013161500000023807,0.028312599999935628,0.6809923000000708,space,0.6462622000003648,None,,,,,,,,,,,636053,001,2025-04-08_12h48.21.078,scalar-implicatures,2024.2.4,60.197193968095476,2025-04-08 12h48.23.969870 +0200,
,,,,,,,,,,,,,,,,,,,,,,0.6810154999998304,0.6948750999999902,4.329678600000079,space,3.627664099999947,None,,,,,636053,001,2025-04-08_12h48.21.078,scalar-implicatures,2024.2.4,60.197193968095476,2025-04-08 12h48.23.969870 +0200,
42,jeune/sérieux,None,filler-false,Paul,l'étudiant est jeune,l'étudiant n'est pas sérieux,0,0,0,0,0,0,41,4.344947000000047,,,,,,,,,,,,,,4.336925099999917,4.344947000000047,,5.3961623000000145,,,,,,,,
