id,scale_term,scale_type,condition,speaker,scale_first,scale_second,subject,verb,thisN,thisTrialN,thisRepN,respSI.keys,respSI.rt,respSI.duration,respSI_RT.keys,respSI_RT.rt,respSI_RT.duration,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,implicatures.thisRepN,implicatures.thisTrialN,implicatures.thisN,implicatures.thisIndex,thisRow.t,notes,welcome.started,keyWelcome.started,welcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.duration,taskSI.started,keySI.started,taskSI.stopped,keySI.keys,keySI.rt,keySI.duration,fix.started,fix_rand.started,fix_rand.stopped,fix.stopped,stimSI.started,textSI.started,respSI.started,stimSI.stopped,practice.respSI.keys,practice.respSI.rt,practice.respSI.duration,stimSI_RT.started,textSI_RT.started,respSI_RT.started,stimSI_RT.stopped,practice.respSI_RT.keys,practice.respSI_RT.rt,practice.respSI_RT.duration,practiceEnd.started,key_instruct.started,practiceEnd.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,participant,group,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022140400018543005,0.03272479982115328,0.36009450000710785,space,0.3210471000056714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,native,2025-04-15_15h47.17.717,scalar-implicatures,2024.2.4,60.097454045932466,2025-04-15 15h47.23.957007 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36020719981752336,0.41491309995763004,0.8376748999580741,space,0.41663580015301704,None,,,,,,,,,,,,,,,,,,,,,,,,,123,native,2025-04-15_15h47.17.717,scalar-implicatures,2024.2.4,60.097454045932466,2025-04-15 15h47.23.957007 +0200,
a,longue/interminable,B,test,Julie,longue,interminable,la route,est,0,0,0,space,2.414889100007713,None,j,4.003028400009498,None,0,0,0,0,,,,,0.8641494999174029,,,,,,,,,,,,,,0.8521616999059916,0.8641494999174029,1.3649867998901755,1.3359597998205572,1.3360195998102427,1.3649867998901755,1.3649867998901755,3.785704899812117,space,2.414889100007713,None,3.797491400036961,3.813443899853155,3.813443899853155,7.8233788998331875,j,4.003028400009498,None,,,,,,,123,native,2025-04-15_15h47.17.717,scalar-implicatures,2024.2.4,60.097454045932466,2025-04-15 15h47.23.957007 +0200,
c,égoïste/petit,None,filler-false,Paul,égoïste,petit,le président,est,1,1,0,space,1.6936023999005556,None,f,1.6054172001313418,None,0,1,1,2,,,,,7.8328796999994665,,,,,,,,,,,,,,7.823739199899137,7.8328796999994665,8.198849199805409,8.173637199914083,8.175042799906805,8.198849199805409,8.198849199805409,9.920746800024062,space,1.6936023999005556,None,9.935458799824119,9.949129699962214,9.949129699962214,11.557348599890247,f,1.6054172001313418,None,,,,,,,123,native,2025-04-15_15h47.17.717,scalar-implicatures,2024.2.4,60.097454045932466,2025-04-15 15h47.23.957007 +0200,
b,proche/lointain,None,filler-true,Paul,proche,lointain,le bâtiment,est,2,2,0,space,0.7463418999686837,None,j,1.3660067999735475,None,0,2,2,1,,,,,11.566836799960583,,,,,,,,,,,,,,11.55784669984132,11.566836799960583,11.982648799894378,11.956802899949253,11.95796599984169,11.982648799894378,11.982648799894378,12.742040699813515,space,0.7463418999686837,None,12.760720199905336,12.781743099913001,12.781743099913001,14.15665529994294,j,1.3660067999735475,None,,,,,,,123,native,2025-04-15_15h47.17.717,scalar-implicatures,2024.2.4,60.097454045932466,2025-04-15 15h47.23.957007 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.156902699964121,14.167016200022772,15.273711199872196,space,1.1021873999852687,None,123,native,2025-04-15_15h47.17.717,scalar-implicatures,2024.2.4,60.097454045932466,2025-04-15 15h47.23.957007 +0200,
41,doux/fin,None,filler-false,Paul,doux,fin,la couverture,est,0,0,0,,,,,,,,,,,0,0,0,40,15.361036899965256,,,,,,,,,,,,,,15.315543199889362,15.361036899965256,15.86663609999232,15.83831929997541,15.839767999947071,15.86663609999232,15.86663609999232,,,,,,,,,,,,,,,,,,,,,,,,,
